[authlib-injector] [INFO] Logging file: F:\ModTest\versions\1.16.5-Forge\authlib-injector.log
[authlib-injector] [INFO] Version: 1.2.7
[authlib-injector] [INFO] Authentication server: http://localhost:50015
[authlib-injector] [WARNING] You are using HTTP protocol, which is INSECURE! Please switch to HTTPS if possible.
2026-08-30 07:26:31,744 main ERROR Error processing element Queue ([Appenders: null]): CLASS_NOT_FOUND
2026-08-30 07:26:32,181 main ERROR Unable to locate appender "ServerGuiConsole" for logger config "root"
[07:26:32] [main/INFO]: ModLauncher running: args [--username, 165, --version, 1.16.5-Forge, --gameDir, F:\ModTest\versions\1.16.5-Forge, --assetsDir, F:\ModTest\assets, --assetIndex, 1.16, --uuid, 9ec8cd4d374a31d2acee87a84f0d903d, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, HMCL 3.16.0.348, --width, 1280, --height, 768, --launchTarget, fmlclient, --fml.forgeVersion, 36.2.42, --fml.mcVersion, 1.16.5, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20210115.111550]
[07:26:33] [main/INFO]: ModLauncher 8.1.3+8.1.3+main-8.1.x.c94d18ec starting: java version 17.0.11 by Oracle Corporation
[07:26:34] [main/INFO]: Added Lets Encrypt root certificates as additional trust
[07:26:50] [pool-3-thread-1/INFO]: Wrote 2235 byte class file net.minecraftforge.event.entity.living.PotionColorCalculationEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.entity.living.PotionColorCalculationEvent.class
[07:26:50] [pool-3-thread-1/INFO]: Wrote 2549 byte class file net.minecraftforge.event.entity.living.BabyEntitySpawnEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.entity.living.BabyEntitySpawnEvent.class
[07:26:51] [pool-3-thread-1/INFO]: Wrote 13495 byte class file net.minecraft.entity.monster.CreeperEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.monster.CreeperEntity.class
[07:26:52] [pool-3-thread-1/INFO]: Wrote 1355 byte class file net.minecraftforge.event.entity.player.PlayerXpEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.entity.player.PlayerXpEvent.class
[07:26:52] [pool-3-thread-1/INFO]: Wrote 1576 byte class file net.minecraftforge.event.entity.player.PlayerXpEvent$PickupXp to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.entity.player.PlayerXpEvent$PickupXp.class
[07:26:52] [pool-3-thread-1/INFO]: Wrote 4159 byte class file net.minecraft.item.BlockItemUseContext to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.BlockItemUseContext.class
[07:26:53] [pool-3-thread-1/INFO]: Wrote 3156 byte class file net.minecraft.item.ItemUseContext to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.ItemUseContext.class
[07:26:53] [pool-3-thread-1/INFO]: Wrote 16859 byte class file net.minecraft.entity.projectile.FireworkRocketEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.projectile.FireworkRocketEntity.class
[07:26:53] [pool-3-thread-1/INFO]: Wrote 49512 byte class file net.minecraft.item.ItemStack to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.ItemStack.class
[07:26:53] [pool-3-thread-1/INFO]: Wrote 15449 byte class file net.minecraft.entity.item.ItemFrameEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.item.ItemFrameEntity.class
[07:26:54] [pool-3-thread-1/INFO]: Wrote 16367 byte class file net.minecraft.entity.passive.MooshroomEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.passive.MooshroomEntity.class
[07:26:54] [pool-3-thread-1/INFO]: Wrote 25260 byte class file net.minecraft.entity.monster.piglin.PiglinEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.monster.piglin.PiglinEntity.class
[07:26:54] [pool-3-thread-1/INFO]: Wrote 15604 byte class file net.minecraft.entity.monster.PillagerEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.monster.PillagerEntity.class
[07:26:54] [pool-3-thread-1/INFO]: Wrote 22271 byte class file net.minecraft.entity.passive.SheepEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.passive.SheepEntity.class
[07:26:54] [pool-3-thread-1/INFO]: Wrote 2163 byte class file net.minecraft.entity.monster.SkeletonEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.monster.SkeletonEntity.class
[07:26:54] [pool-3-thread-1/INFO]: Wrote 12773 byte class file net.minecraft.entity.monster.AbstractSkeletonEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.monster.AbstractSkeletonEntity.class
[07:26:54] [pool-3-thread-1/INFO]: Wrote 3079 byte class file net.minecraft.entity.monster.StrayEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.monster.StrayEntity.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 5965 byte class file net.minecraft.entity.monster.WitherSkeletonEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.monster.WitherSkeletonEntity.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 1536 byte class file net.minecraftforge.event.world.WorldEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.world.WorldEvent.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 1049 byte class file net.minecraftforge.event.world.WorldEvent$Save to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.world.WorldEvent$Save.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 1419 byte class file net.minecraftforge.event.entity.EntityJoinWorldEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.entity.EntityJoinWorldEvent.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 29028 byte class file net.minecraft.world.server.ServerChunkProvider to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.server.ServerChunkProvider.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 1286 byte class file net.minecraftforge.event.entity.EntityLeaveWorldEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.entity.EntityLeaveWorldEvent.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 444 byte class file net.minecraft.util.WeightedRandom$Item to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.util.WeightedRandom$Item.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 6102 byte class file net.minecraft.world.gen.feature.jigsaw.JigsawPattern$PlacementBehaviour to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.gen.feature.jigsaw.JigsawPattern$PlacementBehaviour.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 5018 byte class file net.minecraft.world.biome.MobSpawnInfo$Builder to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.biome.MobSpawnInfo$Builder.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 9867 byte class file net.minecraft.world.biome.BiomeGenerationSettings$Builder to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.biome.BiomeGenerationSettings$Builder.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 6046 byte class file net.minecraft.world.biome.BiomeAmbience$GrassColorModifier to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.biome.BiomeAmbience$GrassColorModifier.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 4616 byte class file net.minecraft.world.biome.Biome$Climate to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.biome.Biome$Climate.class
[07:26:55] [pool-3-thread-1/INFO]: Wrote 8154 byte class file net.minecraft.world.gen.settings.DimensionStructuresSettings to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.gen.settings.DimensionStructuresSettings.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 7334 byte class file net.minecraft.enchantment.Enchantments to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.enchantment.Enchantments.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 1510 byte class file net.minecraft.enchantment.EfficiencyEnchantment to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.enchantment.EfficiencyEnchantment.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 4343 byte class file net.minecraft.enchantment.EnchantmentType to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.enchantment.EnchantmentType.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 101029 byte class file net.minecraft.item.Items to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.Items.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 6546 byte class file net.minecraft.item.ToolItem to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.ToolItem.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 5526 byte class file net.minecraft.item.PickaxeItem to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.PickaxeItem.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 8041 byte class file net.minecraft.item.AxeItem to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.AxeItem.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 6695 byte class file net.minecraft.item.HoeItem to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.HoeItem.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 13170 byte class file net.minecraft.item.BucketItem to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.BucketItem.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 8049 byte class file net.minecraft.item.FishBucketItem to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.FishBucketItem.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 6509 byte class file net.minecraft.item.MusicDiscItem to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.MusicDiscItem.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 18450 byte class file net.minecraft.item.CrossbowItem to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.CrossbowItem.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 2101 byte class file net.minecraft.item.Rarity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.Rarity.class
[07:26:56] [pool-3-thread-1/INFO]: Wrote 8805 byte class file net.minecraft.item.ItemGroup to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.ItemGroup.class
[07:26:57] [pool-3-thread-1/INFO]: Wrote 15875 byte class file net.minecraft.item.crafting.Ingredient to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.crafting.Ingredient.class
[07:26:57] [pool-3-thread-1/INFO]: Wrote 11422 byte class file net.minecraft.potion.EffectInstance to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.potion.EffectInstance.class
[07:26:57] [pool-3-thread-1/INFO]: Wrote 25287 byte class file net.minecraft.entity.projectile.FishingBobberEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.projectile.FishingBobberEntity.class
[07:26:57] [pool-3-thread-1/INFO]: Wrote 8662 byte class file net.minecraft.tileentity.BannerPattern to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.tileentity.BannerPattern.class
[07:26:57] [pool-3-thread-1/INFO]: Wrote 662 byte class file net.minecraft.inventory.container.ContainerType$IFactory to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.inventory.container.ContainerType$IFactory.class
[07:26:57] [pool-3-thread-1/INFO]: Wrote 1229 byte class file net.minecraft.inventory.container.CartographyContainer$3 to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.inventory.container.CartographyContainer$3.class
[07:26:58] [pool-3-thread-1/INFO]: Wrote 8758 byte class file net.minecraft.world.gen.DebugChunkGenerator to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.gen.DebugChunkGenerator.class
[07:26:58] [pool-3-thread-1/INFO]: Wrote 413 byte class file net.minecraft.item.crafting.Ingredient$IItemList to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.crafting.Ingredient$IItemList.class
[07:26:58] [pool-3-thread-1/INFO]: Wrote 1665 byte class file net.minecraft.item.crafting.Ingredient$SingleItemList to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.crafting.Ingredient$SingleItemList.class
[07:26:58] [pool-3-thread-1/INFO]: Wrote 34926 byte class file net.minecraft.command.arguments.EntityOptions to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.command.arguments.EntityOptions.class
[07:26:58] [pool-3-thread-1/INFO]: Wrote 26819 byte class file net.minecraft.command.arguments.EntitySelectorParser to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.command.arguments.EntitySelectorParser.class
[07:26:59] [main/INFO]: Wrote 3628 byte class file net.minecraft.util.Session to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.util.Session.class
[07:26:59] [main/INFO]: Wrote 2834 byte class file net.minecraft.util.Session$Type to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.util.Session$Type.class
[07:26:59] [Render thread/INFO]: Wrote 13785 byte class file net.minecraft.client.renderer.BufferBuilder to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.renderer.BufferBuilder.class
[07:26:59] [Render thread/INFO]: Wrote 7444 byte class file com.mojang.blaze3d.vertex.IVertexBuilder to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\com.mojang.blaze3d.vertex.IVertexBuilder.class
[07:26:59] [Render thread/INFO]: Wrote 125279 byte class file net.minecraft.client.Minecraft to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.Minecraft.class
[07:26:59] [Render thread/INFO]: Wrote 6288 byte class file net.minecraft.util.concurrent.ThreadTaskExecutor to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.util.concurrent.ThreadTaskExecutor.class
[07:26:59] [Render thread/INFO]: Wrote 987 byte class file net.minecraftforge.client.event.ParticleFactoryRegisterEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.ParticleFactoryRegisterEvent.class
[07:26:59] [Render thread/INFO]: Wrote 43983 byte class file net.minecraft.client.gui.IngameGui to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.gui.IngameGui.class
[07:26:59] [Render thread/INFO]: Wrote 6538 byte class file net.minecraft.client.gui.ResourceLoadProgressGui to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.gui.ResourceLoadProgressGui.class
[07:26:59] [Render thread/INFO]: Wrote 25640 byte class file net.minecraft.client.gui.screen.Screen to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.gui.screen.Screen.class
[07:26:59] [Render thread/INFO]: Wrote 22732 byte class file net.minecraft.client.gui.screen.MainMenuScreen to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.gui.screen.MainMenuScreen.class
[07:26:59] [Render thread/INFO]: Wrote 8620 byte class file net.minecraft.client.gui.screen.DeathScreen to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.gui.screen.DeathScreen.class
[07:26:59] [Render thread/INFO]: Wrote 1393 byte class file net.minecraftforge.client.event.GuiOpenEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiOpenEvent.class
[07:26:59] [Render thread/INFO]: Wrote 1055 byte class file net.minecraftforge.event.world.WorldEvent$Unload to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.world.WorldEvent$Unload.class
[07:26:59] [Render thread/INFO]: Wrote 41680 byte class file net.minecraft.client.entity.player.ClientPlayerEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.entity.player.ClientPlayerEntity.class
[07:26:59] [Render thread/INFO]: Wrote 7012 byte class file net.minecraft.client.entity.player.AbstractClientPlayerEntity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.entity.player.AbstractClientPlayerEntity.class
[authlib-injector] [INFO] Httpd is running on port 50042
[authlib-injector] [INFO] Transformed [net.minecraft.client.entity.player.AbstractClientPlayerEntity] with [Constant URL Transformer]
[07:27:00] [Render thread/INFO]: Wrote 45462 byte class file net.minecraft.client.world.ClientWorld to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.world.ClientWorld.class
[07:27:00] [Render thread/INFO]: Wrote 8659 byte class file net.minecraft.client.gui.DisplayEffectsScreen to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.gui.DisplayEffectsScreen.class
[07:27:00] [Render thread/INFO]: Wrote 23496 byte class file net.minecraft.client.gui.screen.inventory.ContainerScreen to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.gui.screen.inventory.ContainerScreen.class
[07:27:00] [Render thread/INFO]: Wrote 13520 byte class file net.minecraft.client.gui.advancements.AdvancementsScreen to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.gui.advancements.AdvancementsScreen.class
[07:27:00] [Render thread/INFO]: Wrote 3255 byte class file net.minecraft.client.util.SearchTreeManager to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.util.SearchTreeManager.class
[07:27:00] [Render thread/INFO]: Wrote 585 byte class file net.minecraft.client.util.SearchTreeManager$Key to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.util.SearchTreeManager$Key.class
[07:27:00] [Render thread/INFO]: Wrote 1354 byte class file net.minecraftforge.client.event.InputUpdateEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.InputUpdateEvent.class
[07:27:00] [Render thread/INFO]: Wrote 2015 byte class file net.minecraftforge.client.event.RenderWorldLastEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.RenderWorldLastEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1129 byte class file net.minecraftforge.client.event.ColorHandlerEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.ColorHandlerEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1559 byte class file net.minecraftforge.client.event.ColorHandlerEvent$Item to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.ColorHandlerEvent$Item.class
[07:27:00] [Render thread/INFO]: Wrote 1283 byte class file net.minecraftforge.client.event.ColorHandlerEvent$Block to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.ColorHandlerEvent$Block.class
[07:27:00] [Render thread/INFO]: Wrote 1297 byte class file net.minecraftforge.client.event.sound.SoundEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.sound.SoundEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1929 byte class file net.minecraftforge.client.event.sound.PlaySoundEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.sound.PlaySoundEvent.class
[07:27:00] [Render thread/INFO]: Wrote 2207 byte class file net.minecraftforge.client.event.EntityViewRenderEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.EntityViewRenderEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1860 byte class file net.minecraftforge.client.event.EntityViewRenderEvent$FogEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.EntityViewRenderEvent$FogEvent.class
[07:27:00] [Render thread/INFO]: Wrote 2186 byte class file net.minecraftforge.client.event.EntityViewRenderEvent$RenderFogEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.EntityViewRenderEvent$RenderFogEvent.class
[07:27:00] [Render thread/INFO]: Wrote 2133 byte class file net.minecraftforge.client.event.EntityViewRenderEvent$FogDensity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.EntityViewRenderEvent$FogDensity.class
[07:27:00] [Render thread/INFO]: Wrote 2479 byte class file net.minecraftforge.client.event.GuiScreenEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent.class
[07:27:00] [Render thread/INFO]: Wrote 2002 byte class file net.minecraftforge.client.event.GuiScreenEvent$DrawScreenEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$DrawScreenEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1539 byte class file net.minecraftforge.client.event.GuiScreenEvent$DrawScreenEvent$Pre to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$DrawScreenEvent$Pre.class
[07:27:00] [Render thread/INFO]: Wrote 1406 byte class file net.minecraftforge.client.event.GuiScreenEvent$DrawScreenEvent$Post to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$DrawScreenEvent$Post.class
[07:27:00] [Render thread/INFO]: Wrote 1632 byte class file net.minecraftforge.client.event.EntityViewRenderEvent$FOVModifier to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.EntityViewRenderEvent$FOVModifier.class
[07:27:00] [Render thread/INFO]: Wrote 2230 byte class file net.minecraftforge.client.event.ModelBakeEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.ModelBakeEvent.class
[07:27:00] [Render thread/INFO]: Wrote 2053 byte class file net.minecraftforge.client.event.EntityViewRenderEvent$CameraSetup to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.EntityViewRenderEvent$CameraSetup.class
[07:27:00] [Render thread/INFO]: Wrote 3303 byte class file net.minecraftforge.client.event.RenderGameOverlayEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.RenderGameOverlayEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1890 byte class file net.minecraftforge.client.event.RenderGameOverlayEvent$Post to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.RenderGameOverlayEvent$Post.class
[07:27:00] [Render thread/INFO]: Wrote 2530 byte class file net.minecraftforge.client.event.ScreenshotEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.ScreenshotEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1808 byte class file net.minecraftforge.client.event.RenderGameOverlayEvent$Pre to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.RenderGameOverlayEvent$Pre.class
[07:27:00] [Render thread/INFO]: Wrote 2484 byte class file net.minecraftforge.client.event.RenderGameOverlayEvent$BossInfo to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.RenderGameOverlayEvent$BossInfo.class
[07:27:00] [Render thread/INFO]: Wrote 1424 byte class file net.minecraftforge.client.event.GuiScreenEvent$MouseInputEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$MouseInputEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1870 byte class file net.minecraftforge.client.event.GuiScreenEvent$MouseDragEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$MouseDragEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1472 byte class file net.minecraftforge.client.event.GuiScreenEvent$MouseDragEvent$Post to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$MouseDragEvent$Post.class
[07:27:00] [Render thread/INFO]: Wrote 1469 byte class file net.minecraftforge.client.event.GuiScreenEvent$MouseDragEvent$Pre to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$MouseDragEvent$Pre.class
[07:27:00] [Render thread/INFO]: Wrote 1341 byte class file net.minecraftforge.client.event.InputEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.InputEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1497 byte class file net.minecraftforge.client.event.InputEvent$RawMouseEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.InputEvent$RawMouseEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1559 byte class file net.minecraftforge.client.event.GuiScreenEvent$KeyboardKeyEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$KeyboardKeyEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1511 byte class file net.minecraftforge.client.event.GuiScreenEvent$KeyboardKeyPressedEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$KeyboardKeyPressedEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1459 byte class file net.minecraftforge.client.event.GuiScreenEvent$KeyboardKeyPressedEvent$Pre to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$KeyboardKeyPressedEvent$Pre.class
[07:27:00] [Render thread/INFO]: Wrote 1367 byte class file net.minecraftforge.client.event.InputEvent$MouseInputEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.InputEvent$MouseInputEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1654 byte class file net.minecraftforge.client.event.GuiScreenEvent$KeyboardCharTypedEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$KeyboardCharTypedEvent.class
[07:27:00] [Render thread/INFO]: Wrote 1437 byte class file net.minecraftforge.client.event.GuiScreenEvent$KeyboardCharTypedEvent$Pre to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.client.event.GuiScreenEvent$KeyboardCharTypedEvent$Pre.class
